# distribute
# normalize=0.49419
# analyze_regions=['UTR5', 'CDS', 'UTR3']
ref_id,UTR5,UTR5_count,UTR5_den,CDS,CDS_count,CDS_den,UTR3,UTR3_count,UTR3_den
2L52.1a.1,1-19,0.0,0.0,20-1303,13.590224999999997,0.010584287383177567,1304-2004,9.307245,0.0132770970042796
2L52.1a.2,1-19,0.0,0.0,20-1303,13.590224999999997,0.010584287383177567,1304-2138,9.55434,0.011442323353293413
2L52.1b.1,,,,1-663,9.883799999999999,0.014907692307692306,664-1364,9.307245,0.0132770970042796
2RSSE.1a.1,1-269,0.671925,0.0024978624535315986,270-1301,0.32946,0.0003192441860465116,1302-2329,14.825700000000003,0.014421887159533077
2RSSE.1b.1,1-269,0.671925,0.0024978624535315986,270-1706,0.32946,0.00022926931106471814,1707-2291,0.0,0.0
2RSSE.1c.1,1-269,0.671925,0.0024978624535315986,270-1046,0.32946,0.00042401544401544396,1047-2028,5.792078583682447,0.005898247030226525
3R5.1a.1,1-13,0.0,0.0,14-661,69.68079000000002,0.10753208333333336,662-823,4.9419,0.030505555555555557
3R5.1b.1,1-8,0.0,0.0,9-644,71.65755000000001,0.11266910377358492,645-806,4.9419,0.030505555555555557
4R79.1a.1,1-282,0.0,0.0,283-1317,0.0,0.0,1318-1457,0.0,0.0
4R79.1b.1,,,,1-543,0.0,0.0,,,
4R79.2a.1,,,,1-1188,0.98838,0.000831969696969697,1189-1286,0.0,0.0
4R79.2b.1,,,,1-936,0.49419,0.0005279807692307693,,,
AC3.10.1,1-141,0.0,0.0,142-1197,2.8004100000000007,0.0026519034090909097,1198-1253,0.0,0.0
AC3.10.2,1-53,0.0,0.0,54-1109,2.8004100000000007,0.0026519034090909097,1110-1165,0.0,0.0
AC3.10.3,1-35,0.0,0.0,36-1091,2.8004100000000007,0.0026519034090909097,1092-1147,0.0,0.0
AC3.12.1,1-7,0.0,0.0,8-292,0.0,0.0,293-336,0.0,0.0
AC3.1a.1,,,,1-1068,0.0,0.0,1069-1122,0.0,0.0
AC3.1b.1,,,,1-1041,0.0,0.0,,,
AC3.2.1,1-19,0.0,0.0,20-1597,0.49419,0.00031317490494296577,1598-1651,0.0,0.0
AC3.3.1,1-41,0.0,0.0,42-1319,0.0,0.0,1320-1405,0.0,0.0
AC3.4.1,1-36,0.0,0.0,37-1314,0.0,0.0,1315-1401,0.0,0.0
AC3.5a.1,,,,1-3273,0.24709499999999995,7.54949587534372e-05,3274-3422,0.0,0.0
AC3.5b.1,1-5,0.0,0.0,6-2957,0.24709499999999995,8.370426829268291e-05,2958-3106,0.0,0.0
AC3.6.1,1-9,0.0,0.0,10-987,0.0,0.0,,,
AC3.7.1,1-52,0.0,0.0,53-1642,0.0,0.0,1643-1728,0.0,0.0
AC3.8.1,1-93,0.0,0.0,94-1689,0.4941899999999999,0.00030964285714285707,1690-1774,0.0,0.0
AC7.1a.1,1-76,0.0,0.0,77-1279,0.0,0.0,1280-1377,0.0,0.0
AC7.1b.1,,,,1-1158,0.0,0.0,1159-1256,0.0,0.0
AC7.2a.1,1-87,2.223855,0.02556155172413793,88-1767,1.8494686363636363,0.0011008741883116882,1768-2163,0.2096563636363636,0.0005294352617079889
AC7.2a.2,1-290,2.223855,0.007668465517241379,291-1970,1.8494686363636363,0.0011008741883116882,1971-2366,0.2096563636363636,0.0005294352617079889
AC7.2b.1,1-8,0.0,0.0,9-1685,2.4672061363636364,0.0014712022280045536,1686-2081,0.2096563636363636,0.0005294352617079889
AC7.2c.1,1-18,0.0,0.0,19-1914,2.4672061363636364,0.0013012690592635213,1915-2310,0.2096563636363636,0.0005294352617079889
AC7.2c.2,1-24,0.0,0.0,25-1920,2.4672061363636364,0.0013012690592635213,1921-2316,0.2096563636363636,0.0005294352617079889
AC7.2d.1,1-61,0.0,0.0,62-1711,2.4672061363636364,0.0014952764462809918,1712-2107,0.2096563636363636,0.0005294352617079889
AC7.3.1,1-6,0.0,0.0,7-717,2.96514,0.0041703797468354425,718-759,0.0,0.0
AC8.10.1,,,,1-1350,1213.483544999999,0.8988766999999992,,,
AC8.11.1,,,,1-654,283.66506,0.433738623853211,,,
AC8.3.1,,,,1-1125,1023.714584999999,0.9099685199999992,,,
AC8.4.1,,,,1-654,283.66506,0.433738623853211,,,
AH10.1.1,1-69,0.0,0.0,70-1770,0.49419,0.00029052910052910054,1771-1825,0.0,0.0
AH10.2.1,,,,1-738,9.883800000000003,0.013392682926829273,,,
AH10.4.1,1-115,0.0,0.0,116-334,4.282980000000001,0.01955698630136987,,,
AH6.1.1,,,,1-3414,12.35475,0.003618848857644991,,,
AH6.10.1,1-1120,0.0,0.0,1121-2110,0.0,0.0,2111-2314,0.0,0.0
AH6.11.1,,,,1-990,0.0,0.0,,,
AH6.12.1,,,,1-990,0.0,0.0,991-1053,0.0,0.0
AH6.14.1,1-12,0.0,0.0,13-1008,0.0,0.0,1009-1193,0.0,0.0
AH6.17.1,1-100,0.0,0.0,101-286,0.0,0.0,287-297,0.0,0.0
AH6.2.1,1-13,0.0,0.0,14-1003,3.459330000000001,0.0034942727272727282,1004-1058,0.0,0.0
AH6.3.1,1-92,0.49419,0.005371630434782609,93-785,0.0,0.0,786-838,0.0,0.0
AH6.4.1,,,,1-996,0.0,0.0,997-1091,0.0,0.0
AH6.5.1,1-7,0.0,0.0,8-1411,413.7587869565219,0.29469999070977343,1412-1926,156.70120304347822,0.304274180666948
AH6.6.1,,,,1-990,0.0,0.0,,,
AH6.7.1,,,,1-990,0.0,0.0,991-1037,0.0,0.0
AH6.8.1,,,,1-990,0.0,0.0,991-1049,0.0,0.0
AH9.1.1,,,,1-1236,0.0,0.0,,,
AH9.2.1,1-27,0.0,0.0,28-924,31.178896363636362,0.03475908178777744,925-1166,7.8621136363636355,0.03248807287753568
AH9.3.1,1-5,0.0,0.0,6-770,9.38961,0.012273999999999998,771-961,0.0,0.0
AH9.3.2,1-137,0.0,0.0,138-902,9.38961,0.012273999999999998,903-1088,0.0,0.0
AH9.4.1,1-51,4.44771,0.08721,52-1146,0.49419,0.0004513150684931507,1147-1397,0.0,0.0
AH9.6.1,,,,1-876,0.0,0.0,877-1083,0.0,0.0
B0001.1a.1,1-3,0.0,0.0,4-819,92.6645316403162,0.11355947504940711,820-996,5.802825859683795,0.032784326890868895
B0001.1a.2,1-3,0.0,0.0,4-819,92.62709300395257,0.11351359436758893,820-925,2.051474496047431,0.019353532981579536
B0001.1b.1,,,,1-498,28.914021640316207,0.05806028441830564,499-674,5.802825859683795,0.032970601475476105
B0001.1c.1,,,,1-213,10.464261640316208,0.04912798892167233,214-389,5.802825859683795,0.032970601475476105
B0001.2.1,1-13,0.0,0.0,14-2794,475.61294863636374,0.17102227566931455,2795-2923,5.728111363636364,0.04440396405919662
B0001.3a.1,1-31,0.2920213636363636,0.009420043988269794,32-1807,360.1784011363637,0.20280315379299757,1808-1969,10.377990000000002,0.06406166666666668
B0001.3b.1,1-31,0.2920213636363636,0.009420043988269794,32-1759,360.1784011363637,0.20843657473169194,1760-1919,10.377990000000002,0.06486243750000001
B0001.3c.1,1-35,0.0,0.0,36-1760,359.97623250000004,0.2086818739130435,1761-1922,10.377990000000002,0.06406166666666668
B0001.4a.1,,,,1-747,24.675805227272726,0.033033206462212486,748-1137,1.0220747727272728,0.0026207045454545454
B0001.4a.2,1-96,20.56179619812253,0.21418537706377636,97-843,24.675805227272726,0.033033206462212486,844-1233,1.0220747727272728,0.0026207045454545454
B0001.4a.3,1-92,0.0,0.0,93-839,24.675805227272726,0.033033206462212486,840-1229,1.0220747727272728,0.0026207045454545454
B0001.4c.1,1-6,0.0,0.0,7-675,26.439165000000003,0.039520426008968615,676-1151,1.729665,0.00363375
B0001.5.1,1-6,0.7896296739130435,0.13160494565217393,7-1668,606.290555543478,0.3647957614581697,1669-1861,8.186364782608695,0.04241639783735075
B0001.5.2,1-18,0.7896296739130435,0.043868315217391304,19-1680,606.290555543478,0.3647957614581697,1681-1873,8.186364782608695,0.04241639783735075
B0001.6.1,1-10,0.0,0.0,11-2035,181.36773,0.08956431111111111,2036-2209,3.2122349999999997,0.01846112068965517
B0001.6.2,1-153,11.86056,0.07751999999999999,154-2178,181.36773,0.08956431111111111,2179-2352,3.2122349999999997,0.01846112068965517
B0001.7a.1,1-3,0.0,0.0,4-2199,610.6541099999998,0.27807564207650265,2200-2403,42.335609999999996,0.20752749999999998
B0001.7b.1,1-3,0.0,0.0,4-2211,622.5146699999999,0.28193599184782603,2212-2412,42.335609999999996,0.21062492537313432
B0001.7c.1,1-6,0.0,0.0,7-372,101.63841000000001,0.27770057377049184,373-573,42.335609999999996,0.21062492537313432
B0001.8a.1,1-10,0.0,0.0,11-1483,42.39239580745343,0.0287796305549582,1484-1658,9.297524906832297,0.053128713753327415
B0001.8a.2,1-102,7.289302500000002,0.07146375000000002,103-1575,42.39239580745343,0.0287796305549582,1576-1753,9.297524906832297,0.052233285993439876
