ref_id,ALL,UTR5,CDS,UTR3
2L52.1a.1,1-2004,1-19,20-1303,1304-2004
2L52.1a.2,1-2138,1-19,20-1303,1304-2138
2L52.1b.1,1-1364,,1-663,664-1364
2RSSE.1a.1,1-2329,1-269,270-1301,1302-2329
2RSSE.1b.1,1-2291,1-269,270-1706,1707-2291
2RSSE.1c.1,1-2028,1-269,270-1046,1047-2028
3R5.1a.1,1-823,1-13,14-661,662-823
3R5.1b.1,1-806,1-8,9-644,645-806
4R79.1a.1,1-1457,1-282,283-1317,1318-1457
4R79.1b.1,1-543,,1-543,
4R79.2a.1,1-1286,,1-1188,1189-1286
4R79.2b.1,1-936,,1-936,
AC3.10.1,1-1253,1-141,142-1197,1198-1253
AC3.10.2,1-1165,1-53,54-1109,1110-1165
AC3.10.3,1-1147,1-35,36-1091,1092-1147
AC3.12.1,1-336,1-7,8-292,293-336
AC3.1a.1,1-1122,,1-1068,1069-1122
AC3.1b.1,1-1041,,1-1041,
AC3.2.1,1-1651,1-19,20-1597,1598-1651
AC3.3.1,1-1405,1-41,42-1319,1320-1405
AC3.4.1,1-1401,1-36,37-1314,1315-1401
AC3.5a.1,1-3422,,1-3273,3274-3422
AC3.5b.1,1-3106,1-5,6-2957,2958-3106
AC3.6.1,1-987,1-9,10-987,
AC3.7.1,1-1728,1-52,53-1642,1643-1728
AC3.8.1,1-1774,1-93,94-1689,1690-1774
AC7.1a.1,1-1377,1-76,77-1279,1280-1377
AC7.1b.1,1-1256,,1-1158,1159-1256
AC7.2a.1,1-2163,1-87,88-1767,1768-2163
AC7.2a.2,1-2366,1-290,291-1970,1971-2366
AC7.2b.1,1-2081,1-8,9-1685,1686-2081
AC7.2c.1,1-2310,1-18,19-1914,1915-2310
AC7.2c.2,1-2316,1-24,25-1920,1921-2316
AC7.2d.1,1-2107,1-61,62-1711,1712-2107
AC7.3.1,1-759,1-6,7-717,718-759
AC8.10.1,1-1350,,1-1350,
AC8.11.1,1-654,,1-654,
AC8.3.1,1-1125,,1-1125,
AC8.4.1,1-654,,1-654,
AH10.1.1,1-1825,1-69,70-1770,1771-1825
AH10.2.1,1-738,,1-738,
AH10.4.1,1-334,1-115,116-334,
AH6.1.1,1-3414,,1-3414,
AH6.10.1,1-2314,1-1120,1121-2110,2111-2314
AH6.11.1,1-990,,1-990,
AH6.12.1,1-1053,,1-990,991-1053
AH6.14.1,1-1193,1-12,13-1008,1009-1193
AH6.17.1,1-297,1-100,101-286,287-297
AH6.2.1,1-1058,1-13,14-1003,1004-1058
AH6.3.1,1-838,1-92,93-785,786-838
AH6.4.1,1-1091,,1-996,997-1091
AH6.5.1,1-1926,1-7,8-1411,1412-1926
AH6.6.1,1-990,,1-990,
AH6.7.1,1-1037,,1-990,991-1037
AH6.8.1,1-1049,,1-990,991-1049
AH9.1.1,1-1236,,1-1236,
AH9.2.1,1-1166,1-27,28-924,925-1166
AH9.3.1,1-961,1-5,6-770,771-961
AH9.3.2,1-1088,1-137,138-902,903-1088
AH9.4.1,1-1397,1-51,52-1146,1147-1397
AH9.6.1,1-1083,,1-876,877-1083
B0001.1a.1,1-996,1-3,4-819,820-996
B0001.1a.2,1-925,1-3,4-819,820-925
B0001.1b.1,1-674,,1-498,499-674
B0001.1c.1,1-389,,1-213,214-389
B0001.2.1,1-2923,1-13,14-2794,2795-2923
B0001.3a.1,1-1969,1-31,32-1807,1808-1969
B0001.3b.1,1-1919,1-31,32-1759,1760-1919
B0001.3c.1,1-1922,1-35,36-1760,1761-1922
B0001.4a.1,1-1137,,1-747,748-1137
B0001.4a.2,1-1233,1-96,97-843,844-1233
B0001.4a.3,1-1229,1-92,93-839,840-1229
B0001.4c.1,1-1151,1-6,7-675,676-1151
B0001.5.1,1-1861,1-6,7-1668,1669-1861
B0001.5.2,1-1873,1-18,19-1680,1681-1873
B0001.6.1,1-2209,1-10,11-2035,2036-2209
B0001.6.2,1-2352,1-153,154-2178,2179-2352
B0001.7a.1,1-2403,1-3,4-2199,2200-2403
B0001.7b.1,1-2412,1-3,4-2211,2212-2412
B0001.7c.1,1-573,1-6,7-372,373-573
B0001.8a.1,1-1658,1-10,11-1483,1484-1658
B0001.8a.2,1-1753,1-102,103-1575,1576-1753
B0001.8b.1,1-1662,1-10,11-1489,1490-1662
B0001.8c.1,1-382,,1-216,217-382
B0001.8d.1,1-1704,1-10,11-940,941-1704
B0001.8d.2,1-2026,1-10,11-940,941-2026
B0001.8d.3,1-1677,1-12,13-942,943-1677
B0019.1.1,1-2369,1-12,13-2187,2188-2369
B0019.2.1,1-2431,1-2,3-2246,2247-2431
B0019.2.2,1-2464,1-9,10-2253,2254-2464
B0024.1.1,1-1048,1-57,58-951,952-1048
B0024.1.2,1-1050,1-57,58-951,952-1050
B0024.1.3,1-963,1-57,58-951,952-963
B0024.10.1,1-1840,,1-1722,1723-1840
B0024.10.2,1-1900,1-63,64-1785,1786-1900
B0024.11.1,1-1818,,1-1734,1735-1818
B0024.12.1,1-624,1-7,8-505,506-624
B0024.12.2,1-772,1-155,156-653,654-772
B0024.13.1,1-1026,1-7,8-937,938-1026
B0024.14a.1,1-2993,1-9,10-2712,2713-2993
B0024.14b.1,1-3251,1-68,69-2969,2970-3251
B0024.14d.1,1-2996,1-3,4-2718,2719-2996
B0024.14f.1,1-2914,1-5,6-2633,2634-2914
B0024.15.1,1-1075,1-8,9-1043,1044-1075
B0024.15.2,1-1397,1-330,331-1365,1366-1397
B0024.2.1,1-1009,1-43,44-937,938-1009
B0024.3.1,1-899,1-16,17-781,782-899
B0024.4.1,1-1353,1-33,34-1206,1207-1353
B0024.6a.1,1-3249,,1-3249,
B0024.6b.1,1-3261,,1-3261,
B0024.8a.1,1-3939,,1-3849,3850-3939
B0024.8b.1,1-2353,1-190,191-2263,2264-2353
B0024.8c.1,1-1896,,1-1806,1807-1896
B0024.8d.1,1-1890,,1-1800,1801-1890
B0024.9a.1,1-522,,1-438,439-522
B0024.9a.2,1-553,,1-438,439-553
B0024.9b.1,1-475,,1-360,361-475
B0025.1a.1,1-2799,1-2,3-2708,2709-2799
B0025.1b.1,1-3005,1-958,959-2911,2912-3005
B0025.1b.2,1-2801,1-754,755-2707,2708-2801
B0025.1b.3,1-2802,1-755,756-2708,2709-2802
B0025.1b.4,1-2783,1-736,737-2689,2690-2783
B0025.1b.5,1-2768,1-721,722-2674,2675-2768
B0025.1b.6,1-2802,1-755,756-2708,2709-2802
B0025.1c.1,1-2790,1-2,3-2696,2697-2790
B0025.2.1,1-1629,1-23,24-1511,1512-1629
B0025.2.2,1-1625,1-16,17-1504,1505-1625
B0025.4.1,1-585,1-6,7-453,454-585
B0025.5.1,1-389,1-66,67-288,289-389
B0034.1.1,1-974,1-14,15-779,780-974
B0034.2.1,1-120,,1-120,
B0034.3a.1,1-3998,1-39,40-2994,2995-3998
B0034.3a.2,1-3157,1-39,40-2994,2995-3157
B0034.3b.1,1-1678,1-171,172-675,676-1678
B0034.3b.2,1-750,1-83,84-587,588-750
B0034.3c.1,1-1496,1-10,11-493,494-1496
B0034.3c.2,1-646,,1-483,484-646
B0034.4.1,1-1240,1-514,515-1165,1166-1240
B0034.5.1,1-1095,,1-1095,
B0034.7.1,1-412,1-100,101-337,338-412
B0035.10.1,1-574,1-31,32-442,443-574
B0035.10.2,1-486,1-12,13-423,424-486
B0035.11.1,1-1483,,1-1293,1294-1483
B0035.12.1,1-2814,1-21,22-2532,2533-2814
B0035.12.2,1-2891,1-98,99-2609,2610-2891
B0035.12.3,1-2830,1-21,22-2532,2533-2830
B0035.12.4,1-2777,1-21,22-2532,2533-2777
B0035.13.1,1-991,1-59,60-953,954-991
B0035.13.2,1-1021,1-17,18-911,912-1021
B0035.14a.1,1-1670,1-7,8-1213,1214-1670
B0035.14a.2,1-1698,1-35,36-1241,1242-1698
B0035.14b.1,1-596,,1-141,142-596
B0035.15.1,1-1129,1-140,141-992,993-1129
B0035.16.1,1-1220,1-6,7-1134,1135-1220
B0035.18.1,1-335,1-8,9-281,282-335
B0035.1a.1,1-1332,1-28,29-925,926-1332
B0035.1b.1,1-1240,1-28,29-1054,1055-1240
B0035.2.1,1-1298,1-4,5-1018,1019-1298
B0035.2.2,1-1204,1-4,5-1018,1019-1204
B0035.2.3,1-1193,1-6,7-1020,1021-1193
B0035.21.1,1-310,1-92,93-260,261-310
B0035.22.1,1-30,,1-30,
B0035.3.1,1-898,1-149,150-761,762-898
B0035.3.2,1-852,1-83,84-695,696-852
B0035.4.1,1-548,1-1,2-382,383-548
B0035.4.2,1-613,1-66,67-447,448-613
B0035.5.1,1-1745,1-2,3-1571,1572-1745
B0035.6.1,1-2487,1-6,7-2190,2191-2487
B0035.6.2,1-2527,1-46,47-2230,2231-2527
B0035.7.1,1-587,1-31,32-415,416-587
B0035.8.1,1-504,1-26,27-398,399-504
B0035.9.1,1-312,,1-312,
B0041.1.1,1-665,1-276,277-627,628-665
B0041.1.2,1-654,1-263,264-614,615-654
B0041.1.3,1-683,1-311,312-662,663-683
B0041.11.1,1-1081,1-32,33-173,174-1081
B0041.11.2,1-787,1-12,13-153,154-787
B0041.11.3,1-714,1-12,13-153,154-714
B0041.11.4,1-427,1-12,13-153,154-427
B0041.12.1,1-33,,1-33,
B0041.2a.1,1-2980,1-21,22-2142,2143-2980
B0041.2a.2,1-3139,1-180,181-2301,2302-3139
B0041.2a.3,1-3120,1-161,162-2282,2283-3120
B0041.2a.4,1-3144,1-185,186-2306,2307-3144
B0041.2b.1,1-3131,1-54,55-2295,2296-3131
B0041.2c.1,1-2972,1-21,22-2136,2137-2972
B0041.2c.2,1-3112,1-161,162-2276,2277-3112
B0041.2c.3,1-3053,1-102,103-2217,2218-3053
B0041.2c.4,1-2899,1-27,28-2142,2143-2899
B0041.2d.1,1-3135,1-54,55-2301,2302-3135
B0041.2e.1,1-3075,1-54,55-2241,2242-3075
B0041.2f.1,1-3071,1-54,55-2235,2236-3071
B0041.2g.1,1-2918,1-21,22-2082,2083-2918
B0041.2g.2,1-3069,1-172,173-2233,2234-3069
B0041.2g.3,1-3058,1-161,162-2222,2223-3058
B0041.3.1,1-549,1-35,36-515,516-549
B0041.4.1,1-1176,1-6,7-1044,1045-1176
B0041.5a.1,1-1533,1-68,69-1358,1359-1533
B0041.5c.1,1-1386,1-68,69-1211,1212-1386
B0041.6a.1,1-464,,1-423,424-464
B0041.6b.1,1-456,1-1,2-415,416-456
B0041.7.1,1-4317,1-24,25-4104,4105-4317
B0041.7.2,1-4533,1-24,25-4104,4105-4533
B0041.8.1,1-900,1-144,145-744,745-900
B0041.8.2,1-759,,1-600,601-759
B0047.1.1,1-1147,1-14,15-830,831-1147
B0047.3.1,1-832,1-20,21-749,750-832
B0047.4.1,1-651,,1-561,562-651
B0198.1.1,1-1415,1-14,15-854,855-1415
B0198.2a.1,1-1296,1-229,230-1087,1088-1296
B0198.2b.1,1-1277,1-229,230-1162,1163-1277
B0198.3a.1,1-3427,1-19,20-3061,3062-3427
B0198.3a.2,1-3467,1-52,53-3094,3095-3467
B0198.3a.3,1-3473,1-23,24-3065,3066-3473
B0205.10.1,1-1503,1-96,97-1464,1465-1503
B0205.10.2,1-1460,1-51,52-1419,1420-1460
B0205.10.3,1-1442,1-33,34-1401,1402-1442
B0205.11.1,1-954,1-28,29-859,860-954
B0205.11.2,1-950,1-27,28-858,859-950
B0205.11.3,1-978,1-27,28-858,859-978
B0205.12.1,1-231,1-12,13-165,166-231
B0205.13.1,1-453,1-86,87-386,387-453
B0205.14.1,1-364,1-79,80-307,308-364
B0205.14.2,1-1092,1-807,808-1035,1036-1092
B0205.14.3,1-401,1-116,117-344,345-401
B0205.14.4,1-718,1-433,434-661,662-718
B0205.1a.1,1-2614,1-68,69-2342,2343-2614
B0205.1a.2,1-2655,1-68,69-2342,2343-2655
B0205.1a.3,1-2584,1-38,39-2312,2313-2584
B0205.1b.1,1-2393,,1-2121,2122-2393
B0205.1b.2,1-2438,1-4,5-2125,2126-2438
B0205.2a.1,1-1317,1-390,391-1317,
B0205.2b.1,1-990,,1-990,
B0205.3.1,1-1290,1-33,34-1074,1075-1290
B0205.3.2,1-1197,1-33,34-1074,1075-1197
B0205.3.3,1-1313,1-57,58-1098,1099-1313
B0205.4.1,1-1365,1-96,97-1296,1297-1365
B0205.5.1,1-260,1-81,82-180,181-260
B0205.6.1,1-1432,1-52,53-1291,1292-1432
B0205.7.1,1-1475,1-17,18-1100,1101-1475
B0205.8.1,1-508,1-15,16-378,379-508
B0205.8.2,1-562,1-69,70-432,433-562
B0205.9.1,1-1837,1-17,18-1616,1617-1837
B0205.9.2,1-1938,1-17,18-1616,1617-1938
B0207.1.1,1-1955,1-244,245-1939,1940-1955
B0207.10.1,1-276,1-12,13-258,259-276
B0207.11.1,1-884,1-57,58-804,805-884
B0207.12a.1,1-2107,,1-1251,1252-2107
B0207.12a.2,1-1826,,1-1251,1252-1826
B0207.12a.3,1-2140,1-6,7-1257,1258-2140
B0207.12a.4,1-2017,1-6,7-1257,1258-2017
B0207.12b.1,1-1463,,1-1293,1294-1463
B0207.12c.1,1-2290,,1-720,721-2290
B0207.12c.2,1-1430,,1-720,721-1430
B0207.2.1,1-816,1-60,61-636,637-816
B0207.2.2,1-1039,1-283,284-859,860-1039
B0207.3.1,1-1370,1-29,30-1256,1257-1370
B0207.4.1,1-1121,1-7,8-925,926-1121
B0207.4.2,1-1193,1-81,82-999,1000-1193
B0207.5a.1,1-11033,,1-10965,10966-11033
B0207.5b.1,1-11063,,1-10995,10996-11063
B0207.6.1,1-987,1-13,14-820,821-987
B0207.7.1,1-1364,1-92,93-1214,1215-1364
B0207.9.1,1-482,1-14,15-440,441-482
B0207.9.2,1-537,1-69,70-495,496-537
B0212.1a.1,1-1871,1-23,24-1871,
B0212.1b.1,1-2259,,1-2259,
B0212.1c.1,1-2269,1-239,240-2135,2136-2269
B0212.1c.2,1-2449,1-423,424-2319,2320-2449
B0212.2.1,1-1218,1-10,11-1189,1190-1218
B0212.3.1,1-2143,1-52,53-2071,2072-2143
B0212.3.2,1-2184,1-52,53-2071,2072-2184
B0212.4a.1,1-1345,1-8,9-1157,1158-1345
B0212.4b.1,1-1525,1-185,186-1337,1338-1525
