ref_id,head,tail,start codon,stop codon
2L52.1a.1,1,2004,20,1303
2L52.1a.2,1,2138,20,1303
2L52.1b.1,1,1364,1,663
2RSSE.1a.1,1,2329,270,1301
2RSSE.1b.1,1,2291,270,1706
2RSSE.1c.1,1,2028,270,1046
3R5.1a.1,1,823,14,661
3R5.1b.1,1,806,9,644
4R79.1a.1,1,1457,283,1317
4R79.1b.1,1,543,1,543
4R79.2a.1,1,1286,1,1188
4R79.2b.1,1,936,1,936
AC3.10.1,1,1253,142,1197
AC3.10.2,1,1165,54,1109
AC3.10.3,1,1147,36,1091
AC3.12.1,1,336,8,292
AC3.1a.1,1,1122,1,1068
AC3.1b.1,1,1041,1,1041
AC3.2.1,1,1651,20,1597
AC3.3.1,1,1405,42,1319
AC3.4.1,1,1401,37,1314
AC3.5a.1,1,3422,1,3273
AC3.5b.1,1,3106,6,2957
AC3.6.1,1,987,10,987
AC3.7.1,1,1728,53,1642
AC3.8.1,1,1774,94,1689
AC7.1a.1,1,1377,77,1279
AC7.1b.1,1,1256,1,1158
AC7.2a.1,1,2163,88,1767
AC7.2a.2,1,2366,291,1970
AC7.2b.1,1,2081,9,1685
AC7.2c.1,1,2310,19,1914
AC7.2c.2,1,2316,25,1920
AC7.2d.1,1,2107,62,1711
AC7.3.1,1,759,7,717
AC8.10.1,1,1350,1,1350
AC8.11.1,1,654,1,654
AC8.3.1,1,1125,1,1125
AC8.4.1,1,654,1,654
AH10.1.1,1,1825,70,1770
AH10.2.1,1,738,1,738
AH10.4.1,1,334,116,334
AH6.1.1,1,3414,1,3414
AH6.10.1,1,2314,1121,2110
AH6.11.1,1,990,1,990
AH6.12.1,1,1053,1,990
AH6.14.1,1,1193,13,1008
AH6.17.1,1,297,101,286
AH6.2.1,1,1058,14,1003
AH6.3.1,1,838,93,785
AH6.4.1,1,1091,1,996
AH6.5.1,1,1926,8,1411
AH6.6.1,1,990,1,990
AH6.7.1,1,1037,1,990
AH6.8.1,1,1049,1,990
AH9.1.1,1,1236,1,1236
AH9.2.1,1,1166,28,924
AH9.3.1,1,961,6,770
AH9.3.2,1,1088,138,902
AH9.4.1,1,1397,52,1146
AH9.6.1,1,1083,1,876
B0001.1a.1,1,996,4,819
B0001.1a.2,1,925,4,819
B0001.1b.1,1,674,1,498
B0001.1c.1,1,389,1,213
B0001.2.1,1,2923,14,2794
B0001.3a.1,1,1969,32,1807
B0001.3b.1,1,1919,32,1759
B0001.3c.1,1,1922,36,1760
B0001.4a.1,1,1137,1,747
B0001.4a.2,1,1233,97,843
B0001.4a.3,1,1229,93,839
B0001.4c.1,1,1151,7,675
B0001.5.1,1,1861,7,1668
B0001.5.2,1,1873,19,1680
B0001.6.1,1,2209,11,2035
B0001.6.2,1,2352,154,2178
B0001.7a.1,1,2403,4,2199
B0001.7b.1,1,2412,4,2211
B0001.7c.1,1,573,7,372
B0001.8a.1,1,1658,11,1483
B0001.8a.2,1,1753,103,1575
B0001.8b.1,1,1662,11,1489
B0001.8c.1,1,382,1,216
B0001.8d.1,1,1704,11,940
B0001.8d.2,1,2026,11,940
B0001.8d.3,1,1677,13,942
B0019.1.1,1,2369,13,2187
B0019.2.1,1,2431,3,2246
B0019.2.2,1,2464,10,2253
B0024.1.1,1,1048,58,951
B0024.1.2,1,1050,58,951
B0024.1.3,1,963,58,951
B0024.10.1,1,1840,1,1722
B0024.10.2,1,1900,64,1785
B0024.11.1,1,1818,1,1734
B0024.12.1,1,624,8,505
B0024.12.2,1,772,156,653
B0024.13.1,1,1026,8,937
B0024.14a.1,1,2993,10,2712
B0024.14b.1,1,3251,69,2969
B0024.14d.1,1,2996,4,2718
B0024.14f.1,1,2914,6,2633
B0024.15.1,1,1075,9,1043
B0024.15.2,1,1397,331,1365
B0024.2.1,1,1009,44,937
B0024.3.1,1,899,17,781
B0024.4.1,1,1353,34,1206
B0024.6a.1,1,3249,1,3249
B0024.6b.1,1,3261,1,3261
B0024.8a.1,1,3939,1,3849
B0024.8b.1,1,2353,191,2263
B0024.8c.1,1,1896,1,1806
B0024.8d.1,1,1890,1,1800
B0024.9a.1,1,522,1,438
B0024.9a.2,1,553,1,438
B0024.9b.1,1,475,1,360
B0025.1a.1,1,2799,3,2708
B0025.1b.1,1,3005,959,2911
B0025.1b.2,1,2801,755,2707
B0025.1b.3,1,2802,756,2708
B0025.1b.4,1,2783,737,2689
B0025.1b.5,1,2768,722,2674
B0025.1b.6,1,2802,756,2708
B0025.1c.1,1,2790,3,2696
B0025.2.1,1,1629,24,1511
B0025.2.2,1,1625,17,1504
B0025.4.1,1,585,7,453
B0025.5.1,1,389,67,288
B0034.1.1,1,974,15,779
B0034.2.1,1,120,1,120
B0034.3a.1,1,3998,40,2994
B0034.3a.2,1,3157,40,2994
B0034.3b.1,1,1678,172,675
B0034.3b.2,1,750,84,587
B0034.3c.1,1,1496,11,493
B0034.3c.2,1,646,1,483
B0034.4.1,1,1240,515,1165
B0034.5.1,1,1095,1,1095
B0034.7.1,1,412,101,337
B0035.10.1,1,574,32,442
B0035.10.2,1,486,13,423
B0035.11.1,1,1483,1,1293
B0035.12.1,1,2814,22,2532
B0035.12.2,1,2891,99,2609
B0035.12.3,1,2830,22,2532
B0035.12.4,1,2777,22,2532
B0035.13.1,1,991,60,953
B0035.13.2,1,1021,18,911
B0035.14a.1,1,1670,8,1213
B0035.14a.2,1,1698,36,1241
B0035.14b.1,1,596,1,141
B0035.15.1,1,1129,141,992
B0035.16.1,1,1220,7,1134
B0035.18.1,1,335,9,281
B0035.1a.1,1,1332,29,925
B0035.1b.1,1,1240,29,1054
B0035.2.1,1,1298,5,1018
B0035.2.2,1,1204,5,1018
B0035.2.3,1,1193,7,1020
B0035.21.1,1,310,93,260
B0035.22.1,1,30,1,30
B0035.3.1,1,898,150,761
B0035.3.2,1,852,84,695
B0035.4.1,1,548,2,382
B0035.4.2,1,613,67,447
B0035.5.1,1,1745,3,1571
B0035.6.1,1,2487,7,2190
B0035.6.2,1,2527,47,2230
B0035.7.1,1,587,32,415
B0035.8.1,1,504,27,398
B0035.9.1,1,312,1,312
B0041.1.1,1,665,277,627
B0041.1.2,1,654,264,614
B0041.1.3,1,683,312,662
B0041.11.1,1,1081,33,173
B0041.11.2,1,787,13,153
B0041.11.3,1,714,13,153
B0041.11.4,1,427,13,153
B0041.12.1,1,33,1,33
B0041.2a.1,1,2980,22,2142
B0041.2a.2,1,3139,181,2301
B0041.2a.3,1,3120,162,2282
B0041.2a.4,1,3144,186,2306
B0041.2b.1,1,3131,55,2295
B0041.2c.1,1,2972,22,2136
B0041.2c.2,1,3112,162,2276
B0041.2c.3,1,3053,103,2217
B0041.2c.4,1,2899,28,2142
B0041.2d.1,1,3135,55,2301
B0041.2e.1,1,3075,55,2241
B0041.2f.1,1,3071,55,2235
B0041.2g.1,1,2918,22,2082
B0041.2g.2,1,3069,173,2233
B0041.2g.3,1,3058,162,2222
B0041.3.1,1,549,36,515
B0041.4.1,1,1176,7,1044
B0041.5a.1,1,1533,69,1358
B0041.5c.1,1,1386,69,1211
B0041.6a.1,1,464,1,423
B0041.6b.1,1,456,2,415
B0041.7.1,1,4317,25,4104
B0041.7.2,1,4533,25,4104
B0041.8.1,1,900,145,744
B0041.8.2,1,759,1,600
B0047.1.1,1,1147,15,830
B0047.3.1,1,832,21,749
B0047.4.1,1,651,1,561
B0198.1.1,1,1415,15,854
B0198.2a.1,1,1296,230,1087
B0198.2b.1,1,1277,230,1162
B0198.3a.1,1,3427,20,3061
B0198.3a.2,1,3467,53,3094
B0198.3a.3,1,3473,24,3065
B0205.10.1,1,1503,97,1464
B0205.10.2,1,1460,52,1419
B0205.10.3,1,1442,34,1401
B0205.11.1,1,954,29,859
B0205.11.2,1,950,28,858
B0205.11.3,1,978,28,858
B0205.12.1,1,231,13,165
B0205.13.1,1,453,87,386
B0205.14.1,1,364,80,307
B0205.14.2,1,1092,808,1035
B0205.14.3,1,401,117,344
B0205.14.4,1,718,434,661
B0205.1a.1,1,2614,69,2342
B0205.1a.2,1,2655,69,2342
B0205.1a.3,1,2584,39,2312
B0205.1b.1,1,2393,1,2121
B0205.1b.2,1,2438,5,2125
B0205.2a.1,1,1317,391,1317
B0205.2b.1,1,990,1,990
B0205.3.1,1,1290,34,1074
B0205.3.2,1,1197,34,1074
