ref_id,length
2L52.1a.1,2004
2L52.1a.2,2138
2L52.1b.1,1364
2RSSE.1a.1,2329
2RSSE.1b.1,2291
2RSSE.1c.1,2028
3R5.1a.1,823
3R5.1b.1,806
4R79.1a.1,1457
4R79.1b.1,543
4R79.2a.1,1286
4R79.2b.1,936
AC3.10.1,1253
AC3.10.2,1165
AC3.10.3,1147
AC3.12.1,336
AC3.1a.1,1122
AC3.1b.1,1041
AC3.2.1,1651
AC3.3.1,1405
AC3.4.1,1401
AC3.5a.1,3422
AC3.5b.1,3106
AC3.6.1,987
AC3.7.1,1728
AC3.8.1,1774
AC7.1a.1,1377
AC7.1b.1,1256
AC7.2a.1,2163
AC7.2a.2,2366
AC7.2b.1,2081
AC7.2c.1,2310
AC7.2c.2,2316
AC7.2d.1,2107
AC7.3.1,759
AC8.10.1,1350
AC8.11.1,654
AC8.3.1,1125
AC8.4.1,654
AH10.1.1,1825
AH10.2.1,738
AH10.4.1,334
AH6.1.1,3414
AH6.10.1,2314
AH6.11.1,990
AH6.12.1,1053
AH6.14.1,1193
AH6.17.1,297
AH6.2.1,1058
AH6.3.1,838
AH6.4.1,1091
AH6.5.1,1926
AH6.6.1,990
AH6.7.1,1037
AH6.8.1,1049
AH9.1.1,1236
AH9.2.1,1166
AH9.3.1,961
AH9.3.2,1088
AH9.4.1,1397
AH9.6.1,1083
B0001.1a.1,996
B0001.1a.2,925
B0001.1b.1,674
B0001.1c.1,389
B0001.2.1,2923
B0001.3a.1,1969
B0001.3b.1,1919
B0001.3c.1,1922
B0001.4a.1,1137
B0001.4a.2,1233
B0001.4a.3,1229
B0001.4c.1,1151
B0001.5.1,1861
B0001.5.2,1873
B0001.6.1,2209
B0001.6.2,2352
B0001.7a.1,2403
B0001.7b.1,2412
B0001.7c.1,573
B0001.8a.1,1658
B0001.8a.2,1753
B0001.8b.1,1662
B0001.8c.1,382
B0001.8d.1,1704
B0001.8d.2,2026
B0001.8d.3,1677
B0019.1.1,2369
B0019.2.1,2431
B0019.2.2,2464
B0024.1.1,1048
B0024.1.2,1050
B0024.1.3,963
B0024.10.1,1840
B0024.10.2,1900
B0024.11.1,1818
B0024.12.1,624
B0024.12.2,772
B0024.13.1,1026
B0024.14a.1,2993
B0024.14b.1,3251
B0024.14d.1,2996
B0024.14f.1,2914
B0024.15.1,1075
B0024.15.2,1397
B0024.2.1,1009
B0024.3.1,899
